科別編號 日期 時段 醫師姓名 診間 已約人數
200 0323 2 魏佑吉 841 0
200 0323 3 王淑芳 587 0
200 0323 3 魏佑吉 763 0
200 0324 1 丁大清 939 0
200 0324 1 朱堂元 214 0
200 0324 2 龐彭醛 860 0
200 0325 1 魏佑吉 136 0
200 0327 1 朱堂元 311 0
200 0327 1 魏佑吉 487 0
200 0327 2 丁大清 233 0
200 0327 3 魏佑吉 409 0
201 0321 1 黃秉緯 584 0
201 0321 1 吳志浩 760 0
201 0321 2 張凱俊 506 0
201 0321 2 蔣依婷 681 0
201 0322 1 黃銘傑 857 0
201 0322 1 林玠瑋 133 0
201 0322 2 葉盈慧 779 0
201 0322 2 蘇哲民 954 0
201 0323 1 黃懷寬 230 0
201 0323 1 楊先義 406 0
201 0323 2 黃志浩 151 0
201 0323 2 廖思菁 327 0
201 0324 1 賴彥蓉 503 0
201 0324 1 廖思菁 678 0
201 0324 2 李彝邦 424 0
201 0327 1 黃志浩 600 0
201 0327 1 蘇明仁 776 0
201 0327 2 簡婉怡 951 0
201 0327 2 陳其廷 697 0
202 0321 1 張慧芳 873 0
202 0321 2 林惠敏 149 0
202 0322 1 張慧芳 324 0
202 0322 2 林惠敏 970 0
202 0323 1 張慧芳 246 0
202 0323 2 林惠敏 421 0
202 0324 1 張慧芳 597 0
202 0324 1 廖家祥 343 0
202 0324 2 林惠敏 519 0
202 0327 1 張慧芳 694 0
202 0327 2 林惠敏 870 0
203 0321 1 詹榮華 152 0
203 0321 1 楊尚憲 151 0
203 0321 1 朱紹盈 153 0
203 0321 2 陳明群 152 0
203 0321 2 林俊松 027 0
204 0321 1 鄭弘裕 181 0
204 0321 2 鄭弘裕 181 0
204 0321 3 陳司恩 181 0
204 0322 1 鄭弘裕 181 0
204 0322 2 梁忠詔 181 0
205 0321 1 李原傑 171 0
205 0321 1 李怡青 173 0
205 0321 2 李怡青 173 0
205 0321 2 張家榕 177 0
206 0321 2 劉鴻文 233 0
206 0324 1 劉鴻文 233 0
206 0328 2 劉鴻文 233 0
207 0321 1 林經偉 102 0
207 0321 1 楊成湛 103 0
207 0321 1 柯建新 508 0
207 0321 1 吳欣潔 105 0
207 0321 1 林宜信 106 0
207 0321 1 黃明雯 106 0
207 0321 1 林郁甯 101 0
207 0321 2 楊成湛 509 0
207 0321 2 王健豪 103 0
207 0321 2 尤瀚華 106 0
207 0321 2 黃明雯 101 0
207 0321 2 陳家凡 507 0
207 0321 2 林崇舜 102 0
207 0321 3 吳欣潔 103 0
208 0321 2 李燕鳴 155 0
208 0322 1 朱新凱 135 0
208 0328 2 李燕鳴 155 0
208 0405 1 朱新凱 135 0
